# Temperature (K), Specific Heat Capacity (J.kg^-1.K^-1)
293.15,472.4370950719999
323.15,484.83075125
373.15,500.74521999999996
423.15,512.46370125
473.15,521.6871199999999
523.15,529.78703125
573.15,537.80562
623.15,546.45570125
673.15,556.12072
723.15,566.85475125
773.15,578.3824999999999
823.15,590.0993012499999
873.15,601.0711200000001
923.15,610.0345512499998
973.15,615.3968199999999
1023.15,615.2357812500002
1073.15,607.29992
1123.15,589.0083512500003
1173.15,557.45082
1223.15,509.38770124999974
1273.15,441.25000000000045
