# Temperature (K), Density (kg.m^-3)
293.15,7930.0
323.15,7918.819399723375
373.15,7899.2319362319995
423.15,7878.636349484875
473.15,7857.220071376
523.15,7835.143805734376
573.15,7812.541528324
623.15,7789.520486843875
673.15,7766.161200928
723.15,7742.517462145374
773.15,7718.616334
823.15,7694.458151930875
873.15,7670.016523312001
923.15,7645.2383274523745
973.15,7620.043715596
1023.15,7594.326110921875
1073.15,7567.952208543999
1123.15,7540.761975511375
1173.15,7512.568650808
1223.15,7483.158745352875
1273.15,7452.292042
